Title;Name;Reps;Duration;Description
Notes: 8 hurdles, set to lowest setting, placed end to end ;Over-Under with Hello-Goodbye-Hello [R];8;;"Raise hurdles 2, 4, 6, 8 up to middle setting. Facing left, lead with right leg, driving it up and over hurdle 1. Drive left leg up and over hurdle. At hurdle 2, reach right leg under hurdle to squat beneath hurdle, keeping back straight, hips underneath head. Dip under hurdle to move body to other side of hurdle (""hello""), then dip backwards to move back to front side of hurdle (""goodbye""), then dip back under hurdle and stand up from squat position (""hello""). Repeat going over hurdle 3, then under hurdle 4. Lead with right leg through hurdle flight, then face right and lead with left leg. "
Notes: 8 hurdles, set to lowest setting, placed end to end ;Over-Under with Hello-Goodbye-Hello [L];8;;"Raise hurdles 2, 4, 6, 8 up to middle setting. Facing left, lead with right leg, driving it up and over hurdle 1. Drive left leg up and over hurdle. At hurdle 2, reach right leg under hurdle to squat beneath hurdle, keeping back straight, hips underneath head. Dip under hurdle to move body to other side of hurdle (""hello""), then dip backwards to move back to front side of hurdle (""goodbye""), then dip back under hurdle and stand up from squat position (""hello""). Repeat going over hurdle 3, then under hurdle 4. Lead with right leg through hurdle flight, then face right and lead with left leg. "
;Complete;;;
;;;;
;Mini Band Stabilization Series;;;
;Mini Band Standing Fire Hydrant;20;;Standing in 1/4 squat position, with mini band positioned just above knees, shift weight to one leg and with free leg move knee out and back to the side 45 degrees. Perform all reps on one side, then switch. 
;Mini Band Standing Fire Hydrant;20;;Standing in 1/4 squat position, with mini band positioned just above knees, shift weight to one leg and with free leg move knee out and back to the side 45 degrees. Perform all reps on one side, then switch. 
;Scapular Stabilization Level I;;30;In pushup position, keeping arms straight, rotate body to one side so you are in a single arm-support plank. Free arm is straight and in line with shoulders and support arm. Rotate back to pushup position and perform motion on opposite side. 
;Standing Wall Psoas March with Mini Band;;30;Placing hands on wall or fence, with mini band around toes - with slight forward lean from ankles, drive right knee up and forward. Hold 2 sec at top before bringing foot back to ground. Switch sides.
;Scapular Stabilization Level II;;30;In pushup position, reach left leg underneath body toward right hand while rotating slightly into single arm support on left hand. Right arm reaches out so that left foot and right hand nearly touch. Rotate back to pushup position and repeat motion on other side - right foot and left hand reaching toward one another. 
;Mini Band Modified Side Plank with Clamshell;;30;Place mini band just above knees. In side plank position, drop to knees so that left forearm and left knee are in contact with ground. Keeping hips high and forward, lift right knee up and down in clamshell motion. Perform exercise for duration then switch to right side. 
;Mini Band Modified Side Plank with Clamshell;;30;Place mini band just above knees. In side plank position, drop to knees so that left forearm and left knee are in contact with ground. Keeping hips high and forward, lift right knee up and down in clamshell motion. Perform exercise for duration then switch to right side. 
;Mini Band Plank with External Rotation ;;45;In prone (face down) plank position, hold each end of a mini band in each hand. Band should be in stretched position. Hold for duration of exercise
;Mini Band Quadruped Fire Hydrant;15;;On hands and knees with mini band positioned just above knees, lift right leg (keeping knee bent and toe pointed out) back and out to side. Bring leg back to center and repeat. Perform exercise slowly.
;Mini Band Quadruped Fire Hydrant;15;;On hands and knees with mini band positioned just above knees, lift right leg (keeping knee bent and toe pointed out) back and out to side. Bring leg back to center and repeat. Perform exercise slowly.
;Supine Psoas March with Mini Band;20;;Lying supine (face up) with knees at 90 degrees, mini band around toes. Keeping left knee pulled toward chest, drive right heel down to ground straightening leg. Hold position for 10 sec. Bring right knee back up to 90 degrees. Perform motion with other leg, holding for 10 sec at bottom.
;Complete;;;
;;;;
;Mini Band Routine #1;;;
Standing – Band around ankles;Straight leg walks - forward and backward;20;;
Standing – Band around ankles;Side walks - legs straight;20;;
Standing – Band around ankles;Monster walk - forward and back;20;;
Standing – Band around knees;Side walks - toes straight, knees bent;20;;
Standing – Band around knees;Side Jumps;20;;
Standing – Band around knees;Internal-External Rotation - knees in and out;25;;
Standing – Band around toes;Marching - Standing in place, alternating (R-L-R-L );30;;
Kneeling on one leg;Diagonal Arm Draws [R];15;;push arms outward to extend band, raise arms straight diagonally from low to high
Kneeling on one leg;Diagonal Arm Draws [L];15;;push arms outward to extend band, raise arms straight diagonally from low to high
Supine – Band around toes;Leg Raises;20;;
Pushup – Band around toes;Jumping Jack Pushup;20;;
Kneeling on 1 Leg – Band around wrists;Overhead Arm Draws [R];15;;Overhead Arm Draws - push arms outward to extend band, raise arms straight in front, move up and down 
Kneeling on 1 Leg – Band around wrists;Overhead Arm Draws [L];15;;Overhead Arm Draws - push arms outward to extend band, raise arms straight in front, move up and down 
Pushup – Band around toes;Knee tucks - (In, Out, Up = 1 rep) [R];12;;
Pushup – Band around toes;Knee tucks - (In, Out, Up = 1 rep) [L];12;;
Lying on Side – Band around knees;Clamshells [R];20;;
Lying on Side – Band around knees;Clamshells [L];20;;
Kneeling on 2 Legs – Band around wrists;Kneeling Arm Draws;20;;Kneeling Arm Draws - push arms outward to extend band, raise arms straight up and down 
;Complete;;;
;;;;
;Mini Band Routine #2;;;
Band around toes;Alternating Laying Knee Draws ;40;;
Band around toes;Donkey Kicks - alternating;40;;
Band just above knees;Single Leg Standing Clamshells [R];25;;
Band just above knees;Single Leg Standing Clamshells [L];25;;
Band just above knees;Internal-External Rotation ;50;;
Band at ankles;Reverse Clamshells [R];15;;
Band at ankles;Reverse Clamshells [L];15;;
Band at ankles;Contra Kicks - forward, side, back [R];12;;
Band at ankles;Contra Kicks - forward, side, back [L];12;;
Band around toes;Single Leg Marches (one side, then other) [R];15;;
Band around toes;Single Leg Marches (one side, then other) [L];15;;
Band at ankles;Prone Leg Splays;15;;
One band at ankles, one band just above knees;Double Leg Bridge (Slow);10;;
One band at ankles, one band just above knees;Double Leg Bridge;;60;
One band at ankles, one band just above knees;Double Leg Bridge (Slow);10;;
One band at ankles, one band just above knees;Body Squat;20;;
One band at ankles, one band just above knees;Low Side Walks [R];20;;
One band at ankles, one band just above knees;Low Side Walks [L];20;;
Band at ankles;Semi Circle Kicks [R];12;;
Band at ankles;Semi Circle Kicks [L];30;;
Band around toes;Ankle Windshield Wipers [R];30;;
Band around toes;Ankle Windshield Wipers [L];30;;
;Complete;;;
;;;;
;Regeneration Series;;;
;Hip Mobility Stretch [R];8;;In kneeling position, extend left leg out to side with toe pointed forward. Lower onto your hands. Rock slowly forward and backward, feeling stretch on inside of left leg. Switch sides and repeat. 
;Hip Mobility Stretch [L];8;;In kneeling position, extend left leg out to side with toe pointed forward. Lower onto your hands. Rock slowly forward and backward, feeling stretch on inside of left leg. Switch sides and repeat. 
;3-Point T-Spine Rotation [R];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [L];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [R];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [L];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;Modified Tall Plank with ISO Hold [R];;30;In right side plank position on hand (not forearm), drop down so right knee is contacting the ground. Extend left leg straight (in line with hip and shoulder) then raise leg off ground ~1-1.5 ft. Hold leg in raised position for duration. Switch sides. 
;Modified Tall Plank with ISO Hold [L];;30;In right side plank position on hand (not forearm), drop down so right knee is contacting the ground. Extend left leg straight (in line with hip and shoulder) then raise leg off ground ~1-1.5 ft. Hold leg in raised position for duration. Switch sides. 
 4 each direction – forwards, sides, back;Bear Crawl;16;;"In bear-crawl crouched position, take 4 total ""steps"" forward (opposite hand and foot move forward in tandem) then 4 ""steps"" backward. Then take 4 steps laterally - right hand and foot step out, left hand and foot step in - then take 4 steps in the opposite direction. Keep back flat throughout. "
;Bilateral Knee Drops;;60;While laying on back with knees bent, slowly drop knees to one side. Don’t let your shoulder on the opposite side lift off off the floor. Use abdominal muscles to bring your knees back up to the starting position, then drop knees to opposite side.
;Plank Pikes;;45;Start in prone plank position (face down) with elbows directly beneath shoulders, feet hip-width apart. Body in straight line from shoulders to ankles. Tighten abs and raise hips into the air as high as possible, pausing for 1 sec at the top before lowering back into starting position.
;Cat Cows;;60;In quadruped position (hands and knees), toes curled under (not flattened to ground). Exhale and contract abs, pushing your spine upward pausing for 1sec at top. Relax and let stomach fall towards the floor, inhaling, increasing the arch in low back and allowing shoulder blades to fall together (move towards the spine). Hold for 1sec at bottom. Curl spine up again, exhaling on way up. 
;Inchworm Push-ups;10;;In pushup position, perform one pushup, then walk feet into hands keeping legs straight (you will end in a pike position). When feet are as close as possible to hands, walk hands (keeping arms straight) out to return to pushup position. Perform a pushup and repeat inch worm motion. 
;Lying Hamstring Kicks [R];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [L];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [R];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [L];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Single Leg Log Roll [R];15;;Lying supine on ground (face up), legs straight out shoulder-width apart and arms straight behind head. With left leg, rotate entire leg side to side keeping heel in contact with ground (toe will make a windshield wiper motion). Right leg stays stationary. Perform all reps on one side, then switch. 
;Single Leg Log Roll [L];15;;Lying supine on ground (face up), legs straight out shoulder-width apart and arms straight behind head. With left leg, rotate entire leg side to side keeping heel in contact with ground (toe will make a windshield wiper motion). Right leg stays stationary. Perform all reps on one side, then switch. 
;Repeat;;;
;Hip Mobility Stretch [R];8;;In kneeling position, extend left leg out to side with toe pointed forward. Lower onto your hands. Rock slowly forward and backward, feeling stretch on inside of left leg. Switch sides and repeat. 
;Hip Mobility Stretch [L];8;;In kneeling position, extend left leg out to side with toe pointed forward. Lower onto your hands. Rock slowly forward and backward, feeling stretch on inside of left leg. Switch sides and repeat. 
;3-Point T-Spine Rotation [R];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [L];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [R];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;3-Point T-Spine Rotation [L];4;;In bear-crawl crouched position, knees off ground, place right hand behind right ear. Rotate right elbow up to perpendicular with ground and in line with support arm and shoulder. Then rotate elbow down and underneath chest as far as you can go. Rotate back to up position. Perform 4 reps with right side, switch to left side and perform 4 reps, then 4 reps on right side, and 4 reps on left side. 
;Modified Tall Plank with ISO Hold [R];;30;In right side plank position on hand (not forearm), drop down so right knee is contacting the ground. Extend left leg straight (in line with hip and shoulder) then raise leg off ground ~1-1.5 ft. Hold leg in raised position for duration. Switch sides. 
;Modified Tall Plank with ISO Hold [L];;30;In right side plank position on hand (not forearm), drop down so right knee is contacting the ground. Extend left leg straight (in line with hip and shoulder) then raise leg off ground ~1-1.5 ft. Hold leg in raised position for duration. Switch sides. 
 4 each direction – forwards, sides, back;Bear Crawl;16;;"In bear-crawl crouched position, take 4 total ""steps"" forward (opposite hand and foot move forward in tandem) then 4 ""steps"" backward. Then take 4 steps laterally - right hand and foot step out, left hand and foot step in - then take 4 steps in the opposite direction. Keep back flat throughout. "
;Bilateral Knee Drops;;60;While laying on back with knees bent, slowly drop knees to one side. Don’t let your shoulder on the opposite side lift off off the floor. Use abdominal muscles to bring your knees back up to the starting position, then drop knees to opposite side.
;Plank Pikes;;45;Start in prone plank position (face down) with elbows directly beneath shoulders, feet hip-width apart. Body in straight line from shoulders to ankles. Tighten abs and raise hips into the air as high as possible, pausing for 1 sec at the top before lowering back into starting position.
;Cat Cows;;60;In quadruped position (hands and knees), toes curled under (not flattened to ground). Exhale and contract abs, pushing your spine upward pausing for 1sec at top. Relax and let stomach fall towards the floor, inhaling, increasing the arch in low back and allowing shoulder blades to fall together (move towards the spine). Hold for 1sec at bottom. Curl spine up again, exhaling on way up. 
;Inchworm Push-ups;10;;In pushup position, perform one pushup, then walk feet into hands keeping legs straight (you will end in a pike position). When feet are as close as possible to hands, walk hands (keeping arms straight) out to return to pushup position. Perform a pushup and repeat inch worm motion. 
;Lying Hamstring Kicks [R];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [L];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [R];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Lying Hamstring Kicks [L];;30;Lying on ground, supine (face up). Pull the toes toward the shin and fire the hip to raise left leg up and stretch the hamstring. Lower and repeat for duration. Then switch to right side. 2 sets = right/left/right/left
;Single Leg Log Roll [R];15;;Lying supine on ground (face up), legs straight out shoulder-width apart and arms straight behind head. With left leg, rotate entire leg side to side keeping heel in contact with ground (toe will make a windshield wiper motion). Right leg stays stationary. Perform all reps on one side, then switch. 
;Single Leg Log Roll [L];15;;Lying supine on ground (face up), legs straight out shoulder-width apart and arms straight behind head. With left leg, rotate entire leg side to side keeping heel in contact with ground (toe will make a windshield wiper motion). Right leg stays stationary. Perform all reps on one side, then switch. 
;Complete;;;
;;;;
;GS K;;;
;Airplane RDL;10;;"Standing, raise arms to ""T"" position. Keeping back flat, shift weight to right leg, hinge at hips and lower torso to toward ground. Use free leg (left) as counter balance by reaching it backward. Keep core braced. Slowly return to standing position. Switch legs and repeat. "
(Each direction);Plank Crab Walk;10;;In pushup position, take step to side with left hand and left foot at same time. Step right hand and right foot toward left side. Repeat for 10 reps. Then take 10 steps in opposite direction (lead with right hand and foot).
;Med Ball Front Squats;;60;Holding medicine ball (or free weight) at chest height lower into squat position - keep back tall, core braced, glutes contracted. Return to standing and repeat. 
(Each direction);Pike Plank Crab Walk;10;;In pike position (like pushup position but with hips high) - take step to side with left hand and left foot at same time. Step right hand and right foot toward left side. Repeat for 10 reps. Then take 10 steps in opposite direction (lead with right hand and foot).
;Frog Hops;6;;From standing position, lower into quarter squat position. Using arms for momentum, perform a double footed hop forward. Upon landing, explode directly into another jump. 
;Plank with Lateral Toe Tap [R];;30;In prone (face down) plank position, move right leg out to side and tap toe to ground before returning to center. Repeat for duration. Then switch left side. 
;Plank with Lateral Toe Tap [L];;30;In prone (face down) plank position, move right leg out to side and tap toe to ground before returning to center. Repeat for duration. Then switch left side. 
;Med Ball Front Squat with Press;;60;Holding medicine ball (or free weight) at chest height lower into squat position - keep back tall, core braced, glutes contracted. Return to standing while simultaneously pressing med ball overhead. As you lower the ball back to chest height, sink down into another squat. 
;V-sit Hold ;;15;In V-sit position - feet off ground, knees bent, balancing on tailbone - hold for 15 sec. Then straighten legs and hold for 15 sec. Arms can be extended out to the side. 
;V-sit Hold;;15;In V-sit position - feet off ground, knees bent, balancing on tailbone - hold for 15 sec. Then straighten legs and hold for 15 sec. Arms can be extended out to the side. 
;Eccentric Split Jump;;60;From standing position, drop into a split lunge position - right leg moves forward, left leg moves backward at same time. Return to standing position by stepping back leg forward. Repeat motion on other side - left leg forward, right leg backward. 
;Side Plank Needle Thread [R];;60;In left side plank position (on forearm), reach right arm undernead body, rotating shoulder down. Rotate shoulder up, straightening right arm to perpendicular with ground, then trying to reach it a little further behind you. Repeat motion, reaching right arm underneath body. Perform exercise for duration, then switch sides. 
;Side Plank Needle Thread [L];;60;In left side plank position (on forearm), reach right arm undernead body, rotating shoulder down. Rotate shoulder up, straightening right arm to perpendicular with ground, then trying to reach it a little further behind you. Repeat motion, reaching right arm underneath body. Perform exercise for duration, then switch sides. 
;Russian Twist with Overhead Press;;60;Holding medicine ball (or free weight), sit on ground and lift feet off ground so you are in v-sit position (balancing on tailbone). Rotate shoulders and torso and reach weight toward outside of right hip. Return to center and press medicine ball overhead. Bring weight down to chest and then rotate torso and shoulders to the left, reaching weight outside of left hip. Return to center and perform another overhead press. Repeat for duration. 
;Speed Skater Jumps;;60;From 1/4 squat position, jump to the right, landing on right leg, left leg crosses behind right - like in a speed skater position. Use right leg to jump sideways, landing on left leg with right leg crossing behind left. Repeat for duration. 
;Repeat;;;
;Airplane RDL;10;;"Standing, raise arms to ""T"" position. Keeping back flat, shift weight to right leg, hinge at hips and lower torso to toward ground. Use free leg (left) as counter balance by reaching it backward. Keep core braced. Slowly return to standing position. Switch legs and repeat. "
(Each direction);Plank Crab Walk;10;;In pushup position, take step to side with left hand and left foot at same time. Step right hand and right foot toward left side. Repeat for 10 reps. Then take 10 steps in opposite direction (lead with right hand and foot).
;Med Ball Front Squats;;60;Holding medicine ball (or free weight) at chest height lower into squat position - keep back tall, core braced, glutes contracted. Return to standing and repeat. 
(Each direction);Pike Plank Crab Walk;10;;In pike position (like pushup position but with hips high) - take step to side with left hand and left foot at same time. Step right hand and right foot toward left side. Repeat for 10 reps. Then take 10 steps in opposite direction (lead with right hand and foot).
;Frog Hops;6;;From standing position, lower into quarter squat position. Using arms for momentum, perform a double footed hop forward. Upon landing, explode directly into another jump. 
;Plank with Lateral Toe Tap [R];;30;In prone (face down) plank position, move right leg out to side and tap toe to ground before returning to center. Repeat for duration. Then switch left side. 
;Plank with Lateral Toe Tap [L];;30;In prone (face down) plank position, move right leg out to side and tap toe to ground before returning to center. Repeat for duration. Then switch left side. 
;Med Ball Front Squat with Press;;60;Holding medicine ball (or free weight) at chest height lower into squat position - keep back tall, core braced, glutes contracted. Return to standing while simultaneously pressing med ball overhead. As you lower the ball back to chest height, sink down into another squat. 
;V-sit Hold ;;15;In V-sit position - feet off ground, knees bent, balancing on tailbone - hold for 15 sec. Then straighten legs and hold for 15 sec. Arms can be extended out to the side. 
;V-sit Hold;;15;In V-sit position - feet off ground, knees bent, balancing on tailbone - hold for 15 sec. Then straighten legs and hold for 15 sec. Arms can be extended out to the side. 
;Eccentric Split Jump;;60;From standing position, drop into a split lunge position - right leg moves forward, left leg moves backward at same time. Return to standing position by stepping back leg forward. Repeat motion on other side - left leg forward, right leg backward. 
;Side Plank Needle Thread [R];;60;In left side plank position (on forearm), reach right arm undernead body, rotating shoulder down. Rotate shoulder up, straightening right arm to perpendicular with ground, then trying to reach it a little further behind you. Repeat motion, reaching right arm underneath body. Perform exercise for duration, then switch sides. 
;Side Plank Needle Thread [L];;60;In left side plank position (on forearm), reach right arm undernead body, rotating shoulder down. Rotate shoulder up, straightening right arm to perpendicular with ground, then trying to reach it a little further behind you. Repeat motion, reaching right arm underneath body. Perform exercise for duration, then switch sides. 
;Russian Twist with Overhead Press;;60;Holding medicine ball (or free weight), sit on ground and lift feet off ground so you are in v-sit position (balancing on tailbone). Rotate shoulders and torso and reach weight toward outside of right hip. Return to center and press medicine ball overhead. Bring weight down to chest and then rotate torso and shoulders to the left, reaching weight outside of left hip. Return to center and perform another overhead press. Repeat for duration. 
;Speed Skater Jumps;;60;From 1/4 squat position, jump to the right, landing on right leg, left leg crosses behind right - like in a speed skater position. Use right leg to jump sideways, landing on left leg with right leg crossing behind left. Repeat for duration. 
;Complete;;;
;;;;
;Dynamic Med Ball;;;
;Vertical Throws;;120;Med ball in hands, sink into squat then explode up while throwing med ball vertically into the air as high as possible. Let ball land on ground then repeat.
;Standing Chest Press ;;60;In athletic stance, quarter-squat position. Hold ball to chest, quickly press up straightening arms, then bring ball back to chest. Just like a chest pass but without releasing ball. This exercise should be done quickly. 
;Straight Arm Med Ball Marches Forward;20;;Hold med ball overhead with straight arms, staying tall, take slow marching steps (high knee with each step) forward and then backward
;Straight Arm Med Ball Marches Backward;20;;Hold med ball overhead with straight arms, staying tall, take slow marching steps (high knee with each step) forward and then backward
;Med Ball Jump Squats;;60;Holding med ball to chest, jump off ground, landing in squat position. Pause for 1 sec at bottom. Repeat.
;Standing Torso Twist ;;60;Hold med ball to chest, keeping back tall, twist torso to right and slowly to left. Do not use med ball/arms to generate momentum. Twist from the torso
;Standing - Around the World [Clockwise];;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Standing - Around the World [Counterclockwise];;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Forward Walking Lunges;20;;Hold med ball to chest, take lunge steps forward. Make sure to drive knee high while stepping forward, and perform each rep slowly and intentionally
;Backward Walking Lunges;20;;Hold med ball to chest, take lunge step backward. 
;Good Morning ;;60;Place med ball behind head. Keeping back flat, head in neutral position, press hips backward and lower chest toward ground. Do not bend at back, do not round back. Keep core braced. To return to standing position, press hips forward and squeeze glutes together. 
;Repeat;;;
;Vertical Throws;;120;Med ball in hands, sink into squat then explode up while throwing med ball vertically into the air as high as possible. Let ball land on ground then repeat.
;Standing Chest Press ;;60;In athletic stance, quarter-squat position. Hold ball to chest, quickly press up straightening arms, then bring ball back to chest. Just like a chest pass but without releasing ball. This exercise should be done quickly. 
;Straight Arm Med Ball Marches Forward;20;;Hold med ball overhead with straight arms, staying tall, take slow marching steps (high knee with each step) forward and then backward
;Straight Arm Med Ball Marches Backward;20;;Hold med ball overhead with straight arms, staying tall, take slow marching steps (high knee with each step) forward and then backward
;Med Ball Jump Squats;;60;Holding med ball to chest, jump off ground, landing in squat position. Pause for 1 sec at bottom. Repeat.
;Standing Torso Twist ;;60;Hold med ball to chest, keeping back tall, twist torso to right and slowly to left. Do not use med ball/arms to generate momentum. Twist from the torso
;Standing - Around the World [Clockwise];;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Standing - Around the World [Counterclockwise];;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Forward Walking Lunges;20;;Hold med ball to chest, take lunge steps forward. Make sure to drive knee high while stepping forward, and perform each rep slowly and intentionally
;Backward Walking Lunges;20;;Hold med ball to chest, take lunge step backward. 
;Good Morning ;;60;Place med ball behind head. Keeping back flat, head in neutral position, press hips backward and lower chest toward ground. Do not bend at back, do not round back. Keep core braced. To return to standing position, press hips forward and squeeze glutes together. 
;Complete;;;
;;;;
;Standing Mini Band Series;;;
Standing – Band at ankles;Straight leg walks - forward and backward ;20;;
Standing – Band at ankles;Side walks - legs straight;20;;
Standing – Band at ankles;Monster walk - forward and backward;20;;
;Repeat;;;
Standing – Band at ankles;Straight leg walks - forward and backward ;20;;
Standing – Band at ankles;Side walks - legs straight;20;;
Standing – Band at ankles;Monster walk - forward and backward;20;;
Standing – Band at knees;Side walks - toes straight, knees bent (each way);20;;
Standing – Band at knees;Lateral Jumps (side to side);20;;
Standing 1/4 squat – Band at knees;Internal-External Rotation - rotate knees in and out;25;;
Hands on wall, arms straight, body at ~45 degrees incline – Band at toes;Marching - In place, alternating (R-L-R-L );30;;
Standing – Band at ankles;Contra Kicks - kick forward, side, back (= 1 rep) [R];10;;
Standing – Band at ankles;Contra Kicks - kick forward, side, back (= 1 rep) [L];10;;
Standing 1/4 squat – Band at knees;Side Taps;20;;standing on one leg, reach free leg out to side, tapping foot on ground, bring back to midline
Standing 1/4 squat – Band at knees;Standing Single Leg Clamshells [R];25;;Like internal-external rotation, but only one side
Standing 1/4 squat – Band at knees;Standing Single Leg Clamshells [L];25;;Like internal-external rotation, but only one side
Standing 1/4 squat – Band at knees;Standing Fire Hydrants [R];20;;
Standing 1/4 squat – Band at knees;Standing Fire Hydrants [L];20;;
;Complete;;;
;;;;
;Dynamic;;;
;Walking Glute Stretch ;20;;Stand on left leg, cross right ankle over left knee to make a figure 4 position. Sink down into a quarter squat to feell a stretch in your right glute. As you return to standing position, hug your right shin to your chest. Lower right leg to the ground, take a step forward and repeat exercise with left leg. 
;Non-Alternating Split Jumps [R];10;;In a staggered stance, with one foot ~3 ft in front of the other, sink into a split squat, then pushing off with both feet, jump into the air. Land jump in the same lunge position. Repeat. 
;Non-Alternating Split Jumps [L];10;;In a staggered stance, with one foot ~3 ft in front of the other, sink into a split squat, then pushing off with both feet, jump into the air. Land jump in the same lunge position. Repeat. 
;Single Leg RDL with High Knee Finish [R];10;;Standing on left leg, press hips backward, extending right leg straight behind you, lowering torso parallel to ground. As you return to single leg standing stance, bring right leg forward into a high knee finish position. Repeat.
;Single Leg RDL with High Knee Finish [L];10;;Standing on left leg, press hips backward, extending right leg straight behind you, lowering torso parallel to ground. As you return to single leg standing stance, bring right leg forward into a high knee finish position. Repeat.
;Lateral Lunge;20;;Standing tall, take a large step with your right foot out to the side and sink into a lunge position. Pressing off ground with right foot, return to standing position. Repeat exercise with left leg. 
;Walking Lunges with High Step;20;;Take large step forward with right leg, driving free knee up before stepping into the lunge position. Pressing off back foot, assume high knee position with left leg before stepping forward into lunge.
;Lateral Lunge Sway;20;;Step to side with right leg into lateral lunge with left leg straight and toe facing forward. Instead of returning to standing position, stay in a low position and shift weight from right leg, to left leg. Left leg is now bent and bearing most of the weight and right leg is straight. Continue to shift side to side from right lateral lunge to left. 
20m;Forward Bound;0;;Start in a standing athletic position. Shift your bodyweight to one side, then jump forward and land on the opposite foot. Land softly and by bending at your hips, knee, and ankle slightly by performing a small squat on the landing leg. Stay strong in the hip, knee, and ankle as you land. Then, push off with that leg and land back on your other leg, where you started. Repeat this going forwrad. 
20m;Forward Pogo Hops;0;;Double footed small hops forward, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes torward your shins. 
20m;Backward Pogo Hops;0;;Double footed small hops backward, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes torward your shins. 
20m (each direction);Sideways Hops;0;;Double footed small hops to the side, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes toward your shins. 
40m;Power Skip for Height;0;;Take a three-step lead in to generate a little bit of speed, then skip as high as you can, raising your knee as high and as quick as possible, while forcefully extending your drive leg. Land and alternate legs.
40m;Power Skip for Distance;0;;Goal is not to jump as high as possible, but as far as possible. Skip raising your knee as high and as quickly as you can. Remember to fully extend your drive leg and alternate legs. The key is to cover as much ground as possible with each skip.
;Repeat;;;
